kind,resid_rms,resid_offset,g_T,b_T,d_alpha_T_read,delta_T,g_H,b_H,d_alpha_H_read,delta_H,g_P,b_P,d_alpha_P_read,delta_P
joint_vertex,1.9249376202436116e-07,1.16233123658867e-06,1.0,1.0,-2.1647675396834905e-09,9.41584094697472e-10,1.0,4.0,4.567909538886443e-09,2.34504211303237e-10,1.0,1.0,2.391129418940884e-09,-3.4655792629323883e-12
joint_vertex,1.9250489224809277e-07,1.1643433880690487e-06,1.0,1.0,-2.1722802877819695e-09,9.34071346598993e-10,1.0,4.0,4.567616126846117e-09,2.3421079926291094e-10,0.9525721136793044,0.03271033745252472,2.4888425672897497e-09,9.424756908593346e-11
joint_vertex,1.924973899207277e-07,1.1662208844166374e-06,1.0,1.0,-2.180470074249791e-09,9.258815601311714e-10,1.0,4.0,4.568174948845058e-09,2.347696212618516e-10,1.0,-1.0,2.3911414880881973e-09,-3.453510115618907e-12
joint_vertex,1.9248796652539218e-07,1.1642148104189319e-06,1.0,1.0,-2.1729223416084776e-09,9.33429292772485e-10,1.0,4.0,4.5684298344215095e-09,2.3502450683830344e-10,1.0474278863206956,-0.03271033745252461,2.3022762812835076e-09,-9.231871692030859e-11
joint_vertex,1.9300262234802797e-07,1.1683278859333557e-06,1.0,1.0,-2.621457923414035e-09,4.848937109669276e-10,0.6967973758570938,0.6452332270136232,5.356738777365782e-09,1.0233334497825763e-09,1.0,1.0,2.3638764730968663e-09,-3.071852510694992e-11
joint_vertex,1.9301087559291158e-07,1.1703404902090746e-06,1.0,1.0,-2.628942775758557e-09,4.774088586224053e-10,0.6967973758570938,0.6452332270136232,5.356509843237625e-09,1.0231045156544193e-09,0.9525721136793044,0.03271033745252472,2.4616177259426676e-09,6.702272773885134e-11
joint_vertex,1.9300723846981044e-07,1.1722184239042627e-06,1.0,1.0,-2.6371116460923052e-09,4.692399882886573e-10,0.6967973758570938,0.6452332270136232,5.357133003058324e-09,1.0237276754751179e-09,1.0,-1.0,2.363893656247474e-09,-3.07013419563422e-11
joint_vertex,1.9300038493144757e-07,1.1702118978076043e-06,1.0,1.0,-2.629591489559278e-09,4.767601448216843e-10,0.6967973758570938,0.6452332270136232,5.357323416679644e-09,1.0239180890964378e-09,1.0474278863206956,-0.03271033745252461,2.275002655496062e-09,-1.195923427077543e-10
joint_vertex,1.9354881217254925e-07,1.1764432153677426e-06,1.0,1.0,-3.1369779398158836e-09,-3.062630543492113e-11,1.0,-4.0,4.604036946779465e-09,2.706316191962593e-10,1.0,1.0,2.4711950220246454e-09,7.660002382082915e-11
joint_vertex,1.9355884350349984e-07,1.178456582869571e-06,1.0,1.0,-3.1444496639044298e-09,-3.809802952346726e-11,1.0,-4.0,4.603746682750753e-09,2.7034135516754673e-10,0.9525721136793044,0.03271033745252472,2.5689617227219842e-09,1.74366724518168e-10
joint_vertex,1.9355326986301806e-07,1.1803351948551902e-06,1.0,1.0,-3.152595673393749e-09,-4.624403901278666e-11,1.0,-4.0,4.604303873254768e-09,2.708985456715619e-10,1.0,-1.0,2.4712063334983406e-09,7.661133529452434e-11
joint_vertex,1.9354480440882432e-07,1.178327909375717e-06,1.0,1.0,-3.1450891023804468e-09,-3.873746799948428e-11,1.0,-4.0,4.604555821509655e-09,2.711504939264491e-10,1.0474278863206956,-0.03271033745252461,2.3822924653179854e-09,-1.2302532885830859e-11
joint_vertex,1.930382408836511e-07,1.169929315512086e-06,1.0,1.0,-2.6697087732438934e-09,4.366428611370691e-10,1.3032026241429062,-0.6452332270136241,4.172950606341023e-09,-1.6045472124218305e-10,1.0,1.0,2.46693863668619e-09,7.234363848237366e-11
joint_vertex,1.9305006173236298e-07,1.1719421567799212e-06,1.0,1.0,-2.677205059571927e-09,4.291465748090355e-10,1.3032026241429062,-0.6452332270136241,4.172625083577861e-09,-1.607802440053452e-10,0.9525721136793044,0.03271033745252472,2.5646777851232047e-09,1.7008278691938844e-10
